L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
10,0.092000,96000.0,77746.0,17.28811458333333,3.44125133603953,0.0013947216874375006,0.0019345250668381532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.093000,96000.0,76958.0,17.444947916666667,3.4407699896498136,0.001411243655916667,0.001945246820373532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.094000,96000.0,76265.0,17.5753125,3.432310051887098,0.001422168762645834,0.0019460825427357379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.095000,96000.0,75377.0,17.737395833333338,3.4373181612403374,0.0014361752553229176,0.0019467856455449668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.096000,96000.0,74719.0,17.89125000000001,3.4206544962909,0.0014524604118437492,0.001945755858615074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.097000,96000.0,74069.0,18.036052083333338,3.421964484093604,0.0014636482729479168,0.0019431757523685664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.098000,96000.0,73327.0,18.179270833333327,3.41816494473367,0.0014775558613020824,0.0019651179734103334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.099000,96000.0,72343.0,18.33309374999999,3.41371469771278,0.001490815896041667,0.0019449899733022156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.100000,96000.0,71508.0,18.46566666666667,3.4076910722480536,0.0015035520200937492,0.001958393405339541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.101000,96000.0,70805.0,18.642270833333335,3.3994326481847064,0.0015194697168958336,0.001954063002758388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.102000,96000.0,69721.0,18.793729166666655,3.397967264880884,0.0015331730016354165,0.0019500893708050819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.103000,96000.0,69086.0,18.902333333333345,3.393091062311033,0.001542224381249999,0.001956082922677971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.104000,96000.0,68127.0,19.051781249999998,3.3797753230837473,0.0015573378363437505,0.0019591044711394735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.105000,96000.0,67238.0,19.202395833333334,3.37153869139597,0.0015746322335520838,0.00196318315401465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.092000,96000.0,81742.0,56.225125,6.277093359737483,0.010459021290531247,0.010466488700646362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.093000,96000.0,80902.0,56.7524375,6.268802381923407,0.01065815131858333,0.010703101982740463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.094000,96000.0,79626.0,57.23308333333333,6.269569438935075,0.01078712697896875,0.010500683221716186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.095000,96000.0,78609.0,57.76228125,6.268281750338278,0.010981093201427091,0.010667363780666465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.096000,96000.0,77759.0,58.258229166666666,6.228533080243273,0.011162689231958334,0.010812648236289846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.097000,96000.0,76277.0,58.76446875,6.237728566793305,0.011324894284802082,0.010692071148986348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.098000,96000.0,75340.0,59.25423958333333,6.198078390757232,0.011510250561864587,0.010928222816072716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.099000,96000.0,74116.0,59.7045625,6.2017439208484015,0.011659031477020835,0.010874008127403497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.100000,96000.0,73063.0,60.21282291666667,6.1700897365603,0.011866043893812505,0.011098824513211009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.101000,96000.0,71629.0,60.676541666666665,6.163246020751235,0.012040858401906256,0.011352121062624773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.102000,96000.0,70332.0,61.144447916666664,6.146216030996138,0.012204626533499997,0.01129792670682507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.103000,96000.0,69329.0,61.61563541666667,6.112849846402945,0.012407463650062503,0.011494329954121417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.104000,96000.0,68038.0,62.028375,6.1200542700612255,0.01255331713870834,0.011676975541087936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.105000,96000.0,66558.0,62.51872916666667,6.0964756186967595,0.012726751464749995,0.011658149725969217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.092000,96000.0,84932.0,117.41255208333334,9.066271247725002,0.049755120830166616,0.037478648457991814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.093000,96000.0,83519.0,118.54064583333333,9.128058834441513,0.05054529113727083,0.03732888717632877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.094000,96000.0,82470.0,119.57026041666667,9.086224155062366,0.051562610771677064,0.03815482507776173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.095000,96000.0,81457.0,120.65385416666666,9.117533011073387,0.05242151382395833,0.03854184945013646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.096000,96000.0,79912.0,121.73341666666667,9.064999697813446,0.053421501187635445,0.03878616981632144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.097000,96000.0,78600.0,122.70517708333334,9.032897858279703,0.05408833290965625,0.03883887028623463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
