L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.025000,96000.0,90910.0,32.37109375000001,5.8809920594232175,0.002612443963822915,0.0008311941332690676,2.4931875000000003,0.8612858208681221,62.54920833333333,10.48659711317271,37.6121875,8.718257540325299,8.030239583333332,7.67172723018805,0.0,0.0,0.0,0.0
8,0.025500,96000.0,90469.0,33.05618749999999,5.969005619062782,0.002687736298541669,0.0008531182628502245,2.50209375,0.8634452959641935,63.7811875,10.580823064239457,38.519947916666666,8.848078046090283,8.381145833333331,7.829950959129671,0.0,0.0,0.0,0.0
8,0.026000,96000.0,89824.0,33.71655208333331,6.030736996397519,0.0027521582234479166,0.0008686912254976311,2.530020833333334,0.8798050930003892,64.94339583333337,10.630107488281201,39.43171875000001,8.979775126190194,8.879916666666674,8.206915984975767,0.0,0.0,0.0,0.0
8,0.026500,96000.0,89418.0,34.33009374999998,6.080011317534106,0.00280810352715625,0.0008803536833375693,2.5468958333333336,0.889775059100307,66.05689583333333,10.69745624142648,40.25588541666667,9.08472896217313,9.260052083333337,8.394630842386434,0.0,0.0,0.0,0.0
8,0.027000,96000.0,88719.0,35.00659375,6.178860108099128,0.002868275916187501,0.0008939063361846684,2.5670208333333333,0.9007962983277228,67.24643749999997,10.791894230855487,41.180270833333324,9.241396212922274,9.670489583333334,8.647924976928138,0.0,0.0,0.0,0.0
8,0.027500,96000.0,88207.0,35.635875,6.1794458442179945,0.00292666004053125,0.0008977247052432125,2.5891875000000004,0.9059634325215602,68.36408333333328,10.748903031867984,42.04466666666665,9.26140719582069,10.123822916666668,8.860472207980779,0.0,0.0,0.0,0.0
8,0.028000,96000.0,87494.0,36.292593750000016,6.298446051177034,0.002999019497447916,0.0009269253360943601,2.6109687500000005,0.9192093965439954,69.51374999999999,10.907965066985023,42.97381249999999,9.435285430338222,10.604270833333333,9.168838330778021,0.0,0.0,0.0,0.0
8,0.028500,96000.0,86883.0,36.98455208333331,6.331871651180669,0.0030646414223125013,0.0009378635189626931,2.63065625,0.9276336438383772,70.71508333333337,10.878724466263629,43.89318750000001,9.512578930597561,11.072249999999997,9.450792170609416,0.0,0.0,0.0,0.0
8,0.029000,96000.0,86076.0,37.609010416666656,6.385522251744904,0.003106607285635418,0.0009338178883018496,2.646333333333334,0.9306618433990249,71.81799999999998,10.957420161054237,44.78162500000002,9.616728879411657,11.531572916666667,9.700510777431884,0.0,0.0,0.0,0.0
12,0.025000,96000.0,91263.0,116.50451041666669,11.375067941814178,0.013714540924562495,0.0368234598007998,3.254864583333333,0.9865244989071102,224.5128125,19.99938958977705,143.30398958333325,17.843275071781584,38.668302083333344,19.973118191392814,0.0,0.0,0.0,0.0
12,0.025500,96000.0,90592.0,118.90254166666666,11.603262719183467,0.014101236190479175,0.03857521221793342,3.2876041666666667,0.9892395923036865,228.75414583333333,20.202223319817886,146.73746874999995,18.19687584850383,40.77165624999999,20.899462228444214,0.0,0.0,0.0,0.0
12,0.026000,96000.0,89923.0,121.30783333333333,11.685587094815263,0.014302279441177075,0.037634591926830774,3.328802083333333,0.982168933377022,232.98341666666667,20.279518533065115,150.21728124999993,18.351751875099698,43.02752083333335,21.70601069364685,0.0,0.0,0.0,0.0
12,0.026500,96000.0,89005.0,123.617,11.795287901585905,0.01456924770441667,0.038056225340074495,3.3671354166666667,0.9804349248027978,237.02052083333334,20.335332636940066,153.65715625,18.649370898716143,45.40843750000001,22.625389923870113,0.0,0.0,0.0,0.0
12,0.027000,96000.0,88081.0,126.04110416666667,11.994497404120475,0.01488827236355208,0.037989041676475474,3.4010729166666667,0.972979047329832,241.22104166666668,20.569023309627827,157.13257291666665,18.93620677904251,47.71404166666667,23.30163966929751,0.0,0.0,0.0,0.0
12,0.027500,96000.0,87156.0,128.44157291666673,12.107780469747489,0.015105984938614588,0.03668286710773283,3.4453645833333333,0.9630106350585982,245.36770833333333,20.603308952695887,160.59686458333329,19.12168677133058,50.09090625,24.12431056231751,0.0,0.0,0.0,0.0
12,0.028000,96000.0,86157.0,130.78407291666667,12.24151974518909,0.015393728000666677,0.0365402069404023,3.4710833333333335,0.954184599433416,249.42764583333334,20.677248736785618,164.06106250000002,19.34473146123637,52.51945833333333,24.960957985045212,0.0,0.0,0.0,0.0
12,0.028500,96000.0,85032.0,133.17480208333333,12.411139119608864,0.016198163070562502,0.041345603250556126,3.5009270833333335,0.9514414846414555,253.47745833333335,20.842835887858737,167.5499479166666,19.588378719909112,55.09353125,25.638265186594193,0.0,0.0,0.0,0.0
12,0.029000,96000.0,83946.0,135.58221875000004,12.535225845396507,0.016692828871302075,0.04203718140727063,3.5401354166666668,0.9346745956589347,257.54072916666667,20.923777240362206,171.06554166666672,19.80736482935609,57.854083333333335,26.651925866195175,0.0,0.0,0.0,0.0
16,0.025000,96000.0,91757.0,285.01605208333325,18.027044644346464,0.039694935545802085,0.11979146388456993,3.85528125,0.8408452542851125,548.5807291666669,31.476872138176876,360.2966041666666,29.399613510309,109.88271875,38.71768534882932,0.0,0.0,0.0,0.0
16,0.025500,96000.0,90733.0,290.90935416666656,18.31735841765163,0.04219509734687498,0.12880058897115354,3.8868645833333333,0.8355528255032152,558.8559374999998,31.74295393052311,369.0841979166666,29.948628945953242,116.40720833333333,40.50900399378124,0.0,0.0,0.0,0.0
16,0.026000,96000.0,89811.0,296.7354479166666,18.607418630739335,0.04414734737220834,0.13519590932614553,3.9280416666666667,0.8307684264871371,568.9425416666668,32.09679126788195,377.94934375,30.545698231678,123.30271875,42.28605478963642,0.0,0.0,0.0,0.0
16,0.026500,96000.0,88662.0,302.6445208333335,18.891245484377574,0.04610604809898958,0.13903071142573217,3.9590104166666666,0.823485936050632,579.1610416666667,32.24327331741875,386.9071666666667,30.970354000944276,130.67298958333336,44.556308121719766,0.0,0.0,0.0,0.0
16,0.027000,96000.0,87265.0,308.6204270833333,19.27731322964007,0.04800330746481249,0.14341473179120387,3.992125,0.8122370111442374,589.4313124999995,32.7073034837859,395.98356249999995,31.67231249387594,138.16866666666667,46.472540833194955,0.0,0.0,0.0,0.0
16,0.027500,96000.0,86095.0,314.35782291666646,19.335825355622013,0.0493095015504271,0.14818503196497465,4.015000000000001,0.8051121684544631,599.2108124999996,32.56195955700261,404.602125,31.782702134259335,145.3273645833334,48.2111304541656,0.0,0.0,0.0,0.0
16,0.028000,96000.0,84379.0,320.39415625,19.617206247437498,0.049726079584041676,0.14726730618350728,4.044947916666667,0.8025174830323984,609.3744999999996,32.76217251711303,413.70300000000015,32.0963314280117,153.21154166666685,49.82097699041444,0.0,0.0,0.0,0.0
16,0.028500,96000.0,82783.0,326.3343020833334,19.836975126952833,0.050848738970187504,0.14822017633563872,4.073427083333333,0.8022190757864944,619.4287708333333,32.82748478319947,422.7459583333333,32.411545912830235,161.45850000000004,51.174751550252346,0.0,0.0,0.0,0.0
16,0.029000,96000.0,81156.0,332.2456458333331,20.146804341639996,0.05215375983231247,0.15175853771232425,4.091708333333335,0.7942116770083236,629.3501250000002,33.200351943995074,431.76554166666665,33.080585793250336,169.48859374999995,53.63293760916541,0.0,0.0,0.0,0.0
20,0.025000,96000.0,91910.0,567.1661666666668,26.059983999833285,0.09176246198770836,0.3099539544334955,4.195958333333333,0.8175997982449811,1090.6385000000007,45.65931400843632,728.8581145833333,43.83448327258087,240.48020833333334,64.45482298408808,0.0,0.0,0.0,0.0
20,0.025500,96000.0,90917.0,579.0099062499999,26.21498038367155,0.09627964621764583,0.3245594410994969,4.23201041666667,0.8298451437439558,1111.2546041666665,45.159333038861746,747.1516041666666,44.289245613471984,256.03084375,69.44403360388571,0.0,0.0,0.0,0.0
20,0.026000,96000.0,89648.0,590.7266874999998,26.651887475604664,0.09733769908980201,0.32247941150134035,4.267197916666667,0.8398501062434158,1131.4987916666669,45.67423637258171,765.3378854166668,45.242008302132554,272.30665624999995,71.40750475518229,0.0,0.0,0.0,0.0
20,0.026500,96000.0,88219.0,602.4771979166667,26.987886244416917,0.09885735403676042,0.31712602255828193,4.2943750000000005,0.8437460391346814,1151.6811041666663,45.891599793724346,783.4323125000003,45.591173384824096,288.49509375,74.98239290245915,0.0,0.0,0.0,0.0
20,0.027000,96000.0,86399.0,614.5091145833334,27.65326995282824,0.10165479344787498,0.3247611282967166,4.326854166666669,0.8526882426506449,1172.1633125,46.61566322478234,802.1654062500003,47.02864878235141,306.1308229166667,79.53809511072957,0.0,0.0,0.0,0.0
20,0.027500,96000.0,84688.0,626.4144062499998,27.84886321784277,0.10331449782221873,0.31767644423219826,4.35115625,0.8583119117447158,1192.2171250000001,46.50185747563635,820.7216875,46.72539962525617,324.40125000000006,81.05484211122969,0.0,0.0,0.0,0.0
20,0.028000,96000.0,82624.0,638.1540312500001,28.321230945460545,0.10712139043187506,0.32841816920287914,4.377218749999999,0.8666282709268768,1211.9001666666666,46.80628158487402,838.9491875,47.903574850367704,342.5261458333333,86.25716958906183,0.0,0.0,0.0,0.0
