L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
6,0.005000,101376.0,101368.0,3.0579032512626263,1.7402147688568879,0.0004660584777264832,0.00016158683339619745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.006000,101376.0,101359.0,3.646395596590909,1.9037425039609461,0.0004961635536714804,0.00016928148652438612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.007000,101376.0,101336.0,4.253057922979798,2.053039510996723,0.0005255442166883674,0.00016495387550608936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.008000,101376.0,101304.0,4.85913825757576,2.185276405014525,0.0005558084017913508,0.00017849256469854456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.009000,101376.0,101267.0,5.478752367424242,2.3228637275137607,0.0005869017882043085,0.00018097496286883128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.010000,101376.0,101243.0,6.09369081439394,2.4481062010634878,0.0006211800608428027,0.00020026516401299723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.011000,101376.0,101136.0,6.673315183080808,2.567114972939154,0.0006537791317077022,0.00020767626924198746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.012000,101376.0,101062.0,7.278468276515151,2.6830220932193813,0.0006900719267874053,0.00022575446749434152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.013000,101376.0,100961.0,7.877840909090909,2.7622675480095684,0.0007271642098524308,0.00023406750300838738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.014000,101376.0,100821.0,8.484355271464654,2.8860688701920885,0.0007672440069641729,0.0002548704746536146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.015000,101376.0,100634.0,9.069454308712125,2.9870507302414797,0.0008072591746172662,0.0002650444725416617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.016000,101376.0,100410.0,9.673828124999996,3.06563187803549,0.0008518002623796564,0.0002845887699418674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.017000,101376.0,100186.0,10.258572048611118,3.1632280721047645,0.0008954953064926608,0.00029606799303556606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
