L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
6,0.005000,101376.0,101357.0,3.0508798926767677,1.7470396787422935,0.0004679530739030931,0.0001751763900755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.006000,101376.0,101347.0,3.6554707228535346,1.9114751647207764,0.0005010161968710536,0.00019121531914966598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.007000,101376.0,101336.0,4.259874131944445,2.0574754167197518,0.0005290585746922344,0.0001804189959714367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.008000,101376.0,101308.0,4.86702967171717,2.199327612197802,0.0005595887325303819,0.0001974963808053689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.009000,101376.0,101264.0,5.485647490530305,2.3389213028197857,0.0005901654615786782,0.00019509581951787167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.010000,101376.0,101238.0,6.0790621054292915,2.4558509381691036,0.0006220352366635105,0.00020783481852542824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.011000,101376.0,101147.0,6.685596196338385,2.5733655266813504,0.0006548651462180397,0.00021704042901308257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.012000,101376.0,101060.0,7.268653330176767,2.683031141172161,0.0006902828048946495,0.00023724934922833357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.013000,101376.0,100986.0,7.863330571338384,2.7852309463803793,0.0007254754237985326,0.00024260998044808984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.014000,101376.0,100819.0,8.486061789772736,2.913389295868812,0.000767589902353614,0.0002611669822481759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.015000,101376.0,100682.0,9.074376578282836,2.990958366946108,0.0008072273393998579,0.0002774344412873134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.016000,101376.0,100466.0,9.673265861742422,3.090509460775364,0.0008488375378787886,0.00028692991716436854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.017000,101376.0,100174.0,10.262951783459592,3.1717143145887334,0.0008935140334990532,0.0003019825767578759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.018000,101376.0,99844.0,10.862501972853535,3.2561712240936487,0.0009397985791804783,0.0003215609051847199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.019000,101376.0,99547.0,11.452158301767675,3.340359078385773,0.0009864045861742432,0.0003327067006086351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.020000,101376.0,99228.0,12.033232717803028,3.4256674130722016,0.001035663007723723,0.00035024492005687123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.005000,93888.0,93887.0,7.318464553510564,2.702105335621411,0.0007835541022281872,0.00023738713898824188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.006000,93888.0,93887.0,8.781143490115882,2.9491638061171654,0.0008908453123934902,0.0002867841331055182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.007000,93888.0,93884.0,10.236505197682344,3.188070264867291,0.0010109785422098675,0.00033290595681941893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.008000,93888.0,93884.0,11.657805044308114,3.4028101833967903,0.0011405432601929956,0.00038063451106053664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.009000,93888.0,93874.0,13.118396387184733,3.6151045148337704,0.0012883957133073439,0.0004527354925862961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.010000,93888.0,93867.0,14.542710463531016,3.7933207076029047,0.0014442105388867597,0.000484892739848147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.011000,93888.0,93859.0,15.958461145194274,3.97023634581435,0.0016115944063139055,0.0005388176703898619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.012000,93888.0,93835.0,17.388643916155416,4.158453100346,0.0017953963302871506,0.0005958401160719759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.013000,93888.0,93791.0,18.81566334355828,4.290721053393,0.0019904388204030317,0.0006485274950901002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.014000,93888.0,93782.0,20.23702709611451,4.445387240517366,0.0021965001135714904,0.0007080001185217051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.015000,93888.0,93707.0,21.64588658827539,4.588419052825987,0.00241149952403928,0.0007644415761875002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.016000,93888.0,93631.0,23.0786788513974,4.723808840797655,0.002642133950004262,0.000822817101732045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.017000,93888.0,93521.0,24.46731211656441,4.862363815713327,0.0028769595687947323,0.0008785364548206422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.018000,93888.0,93323.0,25.86465789025221,4.983906140510524,0.003123380590906185,0.0009382437134538502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
