L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.026000,52800.0,50181.0,36.88168229166667,5.900469721725441,0.005990334062499997,0.00912673755872511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.026500,52800.0,49922.0,37.55774479166666,5.9560991675588095,0.006132806145833331,0.008647145305621409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.027000,52800.0,49586.0,38.22562500000001,5.923233232269658,0.0063396634375,0.00918611353596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.027500,52800.0,49215.0,38.92153229166668,6.039474925868965,0.006622823125000002,0.009982848575754913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.028000,52800.0,48906.0,39.57752083333332,6.022665626130354,0.006881406354166668,0.010490379787531989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.028500,52800.0,48563.0,40.22109479166665,6.066817995137819,0.007091264166666669,0.010740739144790545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.029000,52800.0,48147.0,40.88683125,6.129669717573376,0.007225705729166667,0.009918097325485273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.029500,52800.0,47745.0,41.56355624999999,6.120206390671631,0.007428036874999997,0.010197766148133008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.030000,52800.0,47226.0,42.18550937500004,6.165321599301654,0.007602759270833333,0.010344469705262484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.030500,52800.0,46621.0,42.92187916666668,6.249984114651129,0.007762766041666668,0.009632447131003597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.031000,52800.0,46192.0,43.538258333333346,6.299700544502347,0.007990875833333331,0.010462305826590572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.031500,52800.0,45750.0,44.172575000000016,6.295091990377867,0.008195864375,0.01045880187492266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.032000,52800.0,45137.0,44.780207291666684,6.301667265415128,0.008490091354166668,0.011357910502405689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.026000,52800.0,50777.0,71.82464062500001,8.171855913827425,0.024336828124999994,0.037328639969156654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.026500,52800.0,50527.0,73.11184062500003,8.24983336631618,0.024920830208333324,0.03574469080210553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.027000,52800.0,50064.0,74.39732604166664,8.314908009530951,0.025705420833333326,0.03567774686049083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.027500,52800.0,49731.0,75.63058645833333,8.409378833763206,0.026592517708333336,0.03661962822177839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.028000,52800.0,49349.0,76.97070312500003,8.496476549643337,0.027570991666666676,0.037258913713674055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.028500,52800.0,48892.0,78.18882812499997,8.527876686716102,0.028379345833333333,0.037732530520647185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.029000,52800.0,48532.0,79.56672708333332,8.50170933410115,0.029356962499999993,0.03818468724413253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.029500,52800.0,47852.0,80.76785520833334,8.597825936448233,0.03023396354166665,0.0385573882220076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.030000,52800.0,47375.0,82.1085416666667,8.601813937464305,0.03117427083333334,0.039194687813166346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.030500,52800.0,46658.0,83.27615104166668,8.692901818743216,0.032089959375,0.03971190189353575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.031000,52800.0,45936.0,84.596190625,8.734571672330022,0.03313862187500001,0.04036925675036895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.031500,52800.0,45174.0,85.80012499999994,8.763607307763678,0.033964831249999994,0.04075212329423359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.032000,52800.0,44415.0,87.14164895833336,8.773958432640606,0.03503562395833333,0.04151016504676159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.026000,52800.0,51120.0,123.34337500000001,10.791364505984337,0.07552314687499999,0.08496786710989167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.026500,52800.0,50847.0,125.48490625000004,10.88319162491721,0.07757862395833337,0.08384009828564035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.027000,52800.0,50498.0,127.75438541666665,10.942650596526267,0.080220790625,0.08456096951168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.027500,52800.0,50193.0,129.79105208333337,10.944201558740733,0.08273960624999999,0.08580086837190849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.028000,52800.0,49719.0,132.06007291666666,11.0285266424429,0.08559898854166666,0.08749684914579507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.028500,52800.0,49129.0,134.3282708333333,11.016879203373566,0.08842345000000007,0.08878459058213091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.029000,52800.0,48714.0,136.40097916666673,11.206690058254873,0.09098413958333329,0.09026554272669912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.029500,52800.0,48163.0,138.5618229166666,11.349382838364688,0.09369380104166661,0.09103116072978654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.030000,52800.0,47314.0,140.70678125,11.386941655555084,0.09646653125,0.09137204797672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.030500,52800.0,46357.0,142.88294791666667,11.378303661203814,0.0993635,0.09190863209177567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.031000,52800.0,45678.0,144.98503124999996,11.389936601309843,0.10252439166666666,0.09454825150389078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.031500,52800.0,44914.0,147.04515624999996,11.480594892116022,0.10530173958333332,0.09538914115196072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.032000,52800.0,43807.0,149.2373333333334,11.631740043732396,0.10808982291666672,0.09523960350671538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.026000,52800.0,51495.0,194.4177916666667,13.474987966195286,0.19296213541666668,0.16504852886769833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.026500,52800.0,51158.0,197.8581145833334,13.635147753634715,0.20090154166666674,0.17034810873337222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.027000,52800.0,50892.0,201.27695833333328,13.67958462821934,0.20687165625,0.17109955514877073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.027500,52800.0,50364.0,204.68800000000002,13.788420597582512,0.21452196875000004,0.17490391566289504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.028000,52800.0,49943.0,208.0101875000001,13.917160383658866,0.22089897916666676,0.17777023312464407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.028500,52800.0,49292.0,211.58466666666652,14.011837702668474,0.22942792708333326,0.17932661145658133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.029000,52800.0,48831.0,214.97719791666668,14.041641583817063,0.23569654166666662,0.1795880687657357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.029500,52800.0,47945.0,218.21734375000003,14.229541460503757,0.24278544791666656,0.18177205885716138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.030000,52800.0,46995.0,221.6798020833333,14.228826953790342,0.2507451770833332,0.18305634550134153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.030500,52800.0,46322.0,224.89714583333335,14.212951441707666,0.2578231145833333,0.18370823371477762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.031000,52800.0,45178.0,228.22823958333345,14.390132874346435,0.26539784375000014,0.18616744014975034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.031500,52800.0,44177.0,231.57217708333326,14.454497765640644,0.2735476250000002,0.18707449852925567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.032000,52800.0,43097.0,234.9054687500001,14.511360133957277,0.2820675520833334,0.18828219329557036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.026000,52800.0,51734.0,287.86108333333334,16.412542698726778,0.4435588749999999,0.2972163556623186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.026500,52800.0,51453.0,292.8687187500001,16.627648050261687,0.4588742500000001,0.2941481217023777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.027000,52800.0,51067.0,298.00606250000004,16.695437089004034,0.47378772916666684,0.29533056256877094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.027500,52800.0,50673.0,302.9890208333334,17.036077797448428,0.4906517604166667,0.3003454331289675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.028000,52800.0,50171.0,308.0793541666666,17.02651651866371,0.5082555833333339,0.3047673043413225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.028500,52800.0,49559.0,312.9622187499999,17.1527971256448,0.5239140208333333,0.3067595491888195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
