L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.099000,52800.0,38784.0,12.1225,3.1173213341926544,0.0009161584395454545,0.0024700171380443348,3.924128787878788,1.7831670961465558,26.007140151515152,8.238291305442994,15.633011363636363,4.924319751345926,7.0817424242424245,7.0948546548358715,0.0,0.0,0.0,0.0
8,0.099500,52800.0,38807.0,12.151117424242424,3.113732203794643,0.0009175978836174243,0.0024582680089700955,3.935246212121212,1.7826060700658055,26.094147727272727,8.262304685192333,15.701060606060606,4.938218772861145,7.1151136363636365,7.072757156621597,0.0,0.0,0.0,0.0
8,0.100000,52800.0,38658.0,12.203011363636364,3.115991492039196,0.0009192712694507579,0.002468540716300546,3.930189393939394,1.7774551415714803,26.152234848484845,8.203245748516098,15.78284090909091,4.944945742331694,7.222424242424243,7.2127812398273035,0.0,0.0,0.0,0.0
8,0.100500,52800.0,38403.0,12.247859848484847,3.1236819179550634,0.0009214370199242425,0.0024537330641671226,3.939526515151515,1.7837569906527013,26.24032196969697,8.222834274330134,15.83967803030303,4.953942814350661,7.237803030303031,7.126480156490322,0.0,0.0,0.0,0.0
8,0.101000,52800.0,38302.0,12.293958333333334,3.122940837919898,0.0009266632210416667,0.002465977751443516,3.954090909090909,1.783351235437663,26.405189393939395,8.34137559847433,15.911647727272728,4.957002951617512,7.33780303030303,7.232317976731984,0.0,0.0,0.0,0.0
8,0.101500,52800.0,38029.0,12.373446969696968,3.1200383146298907,0.0009310440839962123,0.0024577157210689472,3.9772537878787877,1.7790832589715668,26.547746212121215,8.306627527457971,16.019905303030306,4.9452968881627655,7.393598484848485,7.183052695358608,0.0,0.0,0.0,0.0
8,0.102000,52800.0,37746.0,12.402973484848482,3.123087016960603,0.0009349512161553031,0.002502061938506061,3.9841477272727275,1.773081976235624,26.622537878787877,8.278915038536796,16.068465909090914,4.96110380380196,7.461060606060606,7.241782908872867,0.0,0.0,0.0,0.0
8,0.102500,52800.0,37651.0,12.462859848484847,3.1202916780774856,0.0009370774690530304,0.0024732770898790593,4.003295454545455,1.777702761105104,26.718655303030303,8.302801227201812,16.125208333333347,4.9451013417968674,7.526818181818181,7.292817986673844,0.0,0.0,0.0,0.0
8,0.103000,52800.0,37552.0,12.521799242424242,3.1368094063312117,0.0009401959656060608,0.0024685052673134684,4.002462121212118,1.7743480972733536,26.841875,8.349959173099155,16.248446969696968,4.987047156732012,7.678011363636363,7.441914545163488,0.0,0.0,0.0,0.0
16,0.099000,52800.0,39141.0,49.034128787878785,6.556300571622971,0.0043264573375189404,0.008240740558351759,8.894867424242426,2.4796897221029437,116.42998106060607,26.831175006225134,65.02829545454546,10.688995270465261,36.45253787878786,20.05556175450417,0.0,0.0,0.0,0.0
16,0.099500,52800.0,39010.0,49.260094696969716,6.526899716118575,0.004381682465170459,0.008530026630125767,8.934999999999995,2.4717942900578334,117.20526515151515,26.9098040161926,65.3420643939394,10.62693556161637,36.85350378787881,20.064828235450694,0.0,0.0,0.0,0.0
16,0.100000,52800.0,38699.0,49.46931818181819,6.585579414869471,0.004376850673863636,0.008358101365037427,8.966477272727277,2.487043886937945,117.60731060606061,27.18350183089751,65.66821969696971,10.743340819101906,37.23770833333334,20.35859880980933,0.0,0.0,0.0,0.0
16,0.100500,52800.0,38297.0,49.67420454545454,6.5160649491210965,0.004400921869829549,0.008406946138535184,9.000170454545456,2.4774360522287906,118.23689393939394,27.090257473448172,65.99410984848481,10.616534088954962,37.604356060606065,20.159858541852206,0.0,0.0,0.0,0.0
16,0.101000,52800.0,38143.0,49.89399621212121,6.5285884219858,0.004403823691117423,0.00817056813667932,9.047670454545456,2.466038666992522,119.01467803030303,27.182459151067214,66.3465909090909,10.680648191671068,38.1286553030303,20.402885162695224,0.0,0.0,0.0,0.0
16,0.101500,52800.0,37603.0,50.11013257575757,6.541810982218174,0.004419839972670455,0.008197279011877792,9.065587121212122,2.465557042630145,119.43967803030303,27.005257008759745,66.6474053030303,10.659965671524828,38.54482954545452,20.48399574854001,0.0,0.0,0.0,0.0
16,0.102000,52800.0,37456.0,50.302935606060615,6.538285215708002,0.004469715145037878,0.008691374598135128,9.084128787878795,2.4593951624078625,119.79837121212121,27.01257720854826,66.9508522727273,10.651070181535273,38.882575757575765,20.525387558278688,0.0,0.0,0.0,0.0
16,0.102500,52800.0,37051.0,50.48624999999999,6.567147833564326,0.004459719152670457,0.008259365303532109,9.11492424242424,2.458549357138507,120.35642045454546,26.99528721253034,67.19645833333331,10.705841918317894,39.26225378787877,20.786544844903602,0.0,0.0,0.0,0.0
16,0.103000,52800.0,36645.0,50.73174242424243,6.575397820860338,0.004472554224545456,0.008260988709752313,9.168314393939392,2.4548827811168557,121.08020833333333,27.057817115569403,67.57977272727275,10.730667923034487,39.82657196969697,20.839169495083038,0.0,0.0,0.0,0.0
24,0.099000,52800.0,39135.0,110.63638257575758,10.026332631343081,0.011888319541174242,0.0219279058773545,14.382935606060606,3.2266080821897565,278.10831439393934,57.3046544625185,147.9657007575758,16.790592683218122,90.1530303030303,37.65607341363977,0.0,0.0,0.0,0.0
24,0.099500,52800.0,39157.0,111.05589015151516,9.962584575219642,0.01189660039181818,0.02170771246424058,14.442746212121213,3.211405101649504,279.21346590909104,56.25993404913997,148.7158522727274,16.633459417460056,91.16534090909093,37.57835101617563,0.0,0.0,0.0,0.0
24,0.100000,52800.0,38716.0,111.51418560606061,10.034583445893752,0.011944076808465903,0.021940631055633673,14.509962121212121,3.1994732476601424,280.6274242424244,56.77448958621906,149.394412878788,16.703204073977417,92.23854166666666,37.52823777203328,0.0,0.0,0.0,0.0
24,0.100500,52800.0,38141.0,112.05988636363637,10.016641077631569,0.012010528484488634,0.021933921700216488,14.600151515151515,3.1955135574451234,282.4850757575758,56.16703198128962,150.2060416666666,16.665470381127857,93.68560606060605,37.81637039291061,0.0,0.0,0.0,0.0
24,0.101000,52800.0,37771.0,112.58513257575757,9.9887788197657,0.012053360737045453,0.022147394809264656,14.677632575757576,3.196284226346557,284.2963825757575,57.66818622284589,151.0373674242424,16.748595400363012,94.78875,37.93236429339874,0.0,0.0,0.0,0.0
