L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.005000,93888.0,93887.0,7.360088616223585,2.726320748251054,0.0007426072236175027,0.0002522666215461677,1.2110812883435582,0.5903242150393986,14.767851056578051,5.541350948893547,7.91891402522154,3.2641734043344814,0.328039792092706,1.083562100202746,0.0,0.0,0.0,0.0
8,0.006000,93888.0,93885.0,8.82584568847989,2.9812055002476123,0.0008490369251448538,0.00029128589639435914,1.3070040899795499,0.7255392424953421,17.73580223244716,6.098915591394851,9.625830777096121,3.6749012741262965,0.4782719836400818,1.3361095900243496,0.0,0.0,0.0,0.0
8,0.007000,93888.0,93882.0,10.307739008179961,3.217313544085081,0.0009577629950259887,0.000327690612345715,1.4221732276755283,0.8483361539820709,20.745579839809153,6.626194911205543,11.37826985344241,4.0689602604046655,0.6770407293796862,1.6379612909762622,0.0,0.0,0.0,0.0
8,0.008000,93888.0,93885.0,11.794531782549424,3.462569394339664,0.0010686772731019942,0.00036322323325585384,1.5571532038173141,0.9774593130959336,23.78760864008179,7.197036314414938,13.171363752556239,4.476453589746298,0.9265401329243353,1.9595775870502965,0.0,0.0,0.0,0.0
8,0.009000,93888.0,93880.0,13.275924505794137,3.6528528083637943,0.001180140032815696,0.0003973813967580631,1.696563991138377,1.0869262917906817,26.820701261077026,7.645383516598238,15.002247358554873,4.851792377900773,1.2037534083162913,2.2932823691714215,0.0,0.0,0.0,0.0
8,0.010000,93888.0,93871.0,14.73048738922972,3.8521657399322806,0.0012922254123210655,0.00042972747262468513,1.8589276584867076,1.2019634888411137,29.823459867075666,8.12807209432654,16.835314417177916,5.225229886360139,1.5455542774369457,2.67642669979665,0.0,0.0,0.0,0.0
8,0.011000,93888.0,93866.0,16.23158444103612,4.058565736873246,0.0014084932693954485,0.0004648244183834002,2.0361814076346283,1.3109206948419712,32.94141956373552,8.659555420677144,18.758840320381726,5.616007106947465,1.9686434901158827,3.1000534567088995,0.0,0.0,0.0,0.0
8,0.012000,93888.0,93832.0,17.69734151329243,4.251994920445586,0.001523751433165048,0.0004945236748986004,2.2100161895023884,1.4041535343253022,36.010139740967944,9.200704796748388,20.68344197341514,6.009409390052635,2.422908145875937,3.571209389540507,0.0,0.0,0.0,0.0
8,0.013000,93888.0,93810.0,19.178073875255627,4.440336944635345,0.0016427034039600379,0.0005311857335461196,2.40655887866394,1.4978578076176783,39.127886417859564,9.718129043044646,22.648112644853438,6.381317186769046,2.961454072937969,4.054719701534009,0.0,0.0,0.0,0.0
8,0.014000,93888.0,93769.0,20.666666666666675,4.602634489946805,0.0017669581836123895,0.0005709330229664953,2.608054277436945,1.5813117356625297,42.28857788002727,10.252011613499736,24.643628578732105,6.729295571705176,3.5662704498977504,4.616504289475598,0.0,0.0,0.0,0.0
8,0.015000,93888.0,93702.0,22.124414195637346,4.750506665872488,0.0019126786712146376,0.0009138921518607383,2.814065695296523,1.663517995362659,45.42469751192912,10.731403561268253,26.648176550783912,7.061011131418625,4.249254430811177,5.18777125122645,0.0,0.0,0.0,0.0
8,0.016000,93888.0,93609.0,23.629217791411048,4.945965104147158,0.002233547178084528,0.00464108745681675,3.0350311008861635,1.7459510395645756,48.656164792092724,11.397858914586982,28.765348074301293,7.4937506471670785,5.037033486707565,5.861690680895874,0.0,0.0,0.0,0.0
8,0.017000,93888.0,93497.0,25.12733256646216,5.097338441349135,0.0025119119593238755,0.007360115488523701,3.2626853271983647,1.821753082023488,51.96356296864349,12.024938732513466,30.874552658486706,7.8281647403972885,5.949045671438311,6.547017706832709,0.0,0.0,0.0,0.0
8,0.018000,93888.0,93362.0,26.62175144853443,5.25961749704082,0.0026693899322171102,0.0076270391318404105,3.4862495739604635,1.88697412469005,55.23948747443764,12.68296941335836,33.014357532379,8.229867309636616,6.92854251874574,7.354565335048228,0.0,0.0,0.0,0.0
8,0.019000,93888.0,93144.0,28.092748807089297,5.424096883105617,0.0028154378063863328,0.0076284720596780445,3.733352505112475,1.9667750171059335,58.56433197000682,13.561740594802542,35.15676124744376,8.571940930474202,8.017339809134285,8.145027285295873,0.0,0.0,0.0,0.0
8,0.020000,93888.0,92851.0,29.562073960463533,5.550503053608758,0.002966331416261928,0.007735333120426298,3.9852057770961147,2.0422744185697312,61.899284253578735,14.142971936264946,37.325952198364014,8.890870749113434,9.241660276073624,9.002650384678047,0.0,0.0,0.0,0.0
13,0.005000,93888.0,93888.0,32.13621549079754,5.700683014006427,0.00518585286304959,0.03493079151397727,1.78890806066803,1.0026722057581827,64.50488880368101,11.681564579619627,34.67455904907975,6.874725564860173,1.39642978868439,2.2464079231166467,0.0,0.0,0.0,0.0
13,0.006000,93888.0,93888.0,38.567388803681006,6.28206128039738,0.005704405668179108,0.03470988214809668,2.0754835548738915,1.1408550924536756,77.52168541240624,12.96207169811635,42.19606339468303,7.793152216566841,2.0910979038854807,2.8120896450621666,0.0,0.0,0.0,0.0
13,0.007000,93888.0,93888.0,44.983416411042924,6.8013930345204034,0.006248459558122444,0.03474277947184309,2.395939843217451,1.2587626557724934,90.57653800272665,14.135366825831218,49.83803041922288,8.682780035956178,2.962966513292431,3.458109900384195,0.0,0.0,0.0,0.0
13,0.008000,93888.0,93888.0,51.43408103271984,7.238874547422497,0.006825338281186098,0.03538777067869458,2.7194210122699385,1.359088041172004,103.75786042944786,15.16698172122449,57.704211400818,9.495848157901133,4.017531526925694,4.1595122257863135,0.0,0.0,0.0,0.0
13,0.009000,93888.0,93888.0,57.82566462167689,7.705929123137481,0.007407400115605824,0.03641961122466711,3.0811072767552834,1.4489099096228792,116.90635650988412,16.299593873765623,65.64144512610774,10.336423349807514,5.285222818677575,4.860374290790016,0.0,0.0,0.0,0.0
13,0.010000,93888.0,93888.0,64.32895577709611,8.15557935714474,0.00805671381519471,0.03747505495815601,3.438469239945466,1.5203199135261543,130.3446340320383,17.408802454937206,73.92649752897071,11.215163322374343,6.816515422631219,5.747035205689929,0.0,0.0,0.0,0.0
13,0.011000,93888.0,93888.0,70.78427488070894,8.546346137430398,0.009466652015667609,0.04282268409264874,3.8157059475119293,1.601434443951323,143.78747017723228,18.54847883534932,82.28079200749825,12.007047573043469,8.628376363326513,6.68622473005623,0.0,0.0,0.0,0.0
13,0.012000,93888.0,93887.0,77.23116905248804,8.950670268598017,0.010137095599959525,0.04360358217443587,4.214478953646901,1.6821557291448703,157.3355380879345,19.76066450248919,90.78425357873215,12.835183274645525,10.737389229720515,7.683493418578622,0.0,0.0,0.0,0.0
13,0.013000,93888.0,93888.0,83.70390252215408,9.309165461928124,0.010778536810625421,0.04301756724621626,4.61024838104976,1.7630822132966892,170.97236068507172,20.772405453726087,99.45669308111795,13.589283351300605,13.141423824130879,8.802856508593132,0.0,0.0,0.0,0.0
13,0.014000,93888.0,93886.0,90.21016530334013,9.726276317071864,0.011411080934570975,0.04263699661103382,5.053766189502387,1.852727898599638,184.8971647068848,22.15528631126942,108.36446617246081,14.507301947190008,15.983203391274701,10.101662688123387,0.0,0.0,0.0,0.0
13,0.015000,93888.0,93872.0,96.63269001363322,10.08952035026315,0.012209284599533493,0.044450617323995,5.49529226312202,1.9640235991605774,198.7736771472394,23.46081021982426,117.28366777436946,15.308079425599868,19.13622614178596,11.490742754920264,0.0,0.0,0.0,0.0
13,0.016000,93888.0,93871.0,103.13028289025222,10.453768067863,0.01379567546153928,0.04917310731617432,5.9792518745739605,2.076575047435645,213.02734108725295,25.240038723051597,126.48705904907976,16.159215727420968,22.81801721199726,13.029771774951701,0.0,0.0,0.0,0.0
13,0.017000,93888.0,93854.0,109.61252769256987,10.735283985527866,0.014496273762301908,0.049313055200926235,6.486579754601227,2.2141228278682963,227.41801934219492,26.622824678053178,135.77902394342206,16.892872432364367,26.94472137014315,14.914326618779885,0.0,0.0,0.0,0.0
13,0.018000,93888.0,93826.0,116.13066632583504,11.089038122985375,0.015203266185135478,0.04967763728359315,7.039355402181323,2.3499768865603072,242.19562670415814,28.7805791783578,145.31061477505108,17.754838927620888,31.752066291751873,16.858251763704235,0.0,0.0,0.0,0.0
13,0.019000,93888.0,93765.0,122.622465064758,11.450666176694174,0.01644474880766444,0.0532181231494378,7.601024625085208,2.4948000512721054,257.1963509713701,31.4212053635662,154.96227419904574,18.605248249983333,37.164440610088604,18.980655671698102,0.0,0.0,0.0,0.0
13,0.020000,93888.0,93680.0,129.0594644683027,11.70463989424163,0.017555042278800278,0.055743395300730914,8.209590149965917,2.6463543369230926,272.36970645875925,33.7225595306867,164.62642723244716,19.327665815905185,42.99682600545332,21.405703450388287,0.0,0.0,0.0,0.0
18,0.005000,93888.0,93888.0,85.86532890252217,9.389193913753521,0.01978442756739944,0.1269175437189506,2.5248168029993177,1.161638596019975,172.36288982617594,19.352206079702956,92.76656228698023,11.379264411300388,3.7205393660531696,3.6765786975736185,0.0,0.0,0.0,0.0
18,0.006000,93888.0,93888.0,103.04043115201091,10.401628864242372,0.021330777187659744,0.12290342747001472,2.967887269938649,1.2648086177814768,207.16113880368098,21.69918694585048,112.83927658486705,12.992625776827389,5.576239775051125,4.63446120825714,0.0,0.0,0.0,0.0
18,0.007000,93888.0,93888.0,120.27049250170415,11.182132749112359,0.023131292939651507,0.12772682712065617,3.4284147068847997,1.3441220331101924,242.20241138377642,23.421250501231217,133.46917603953645,14.366448116620674,7.896706714383095,5.63636595858194,0.0,0.0,0.0,0.0
18,0.008000,93888.0,93888.0,137.5225694444444,11.961667578045333,0.024954403811179266,0.1328102618313896,3.915409850034083,1.4109364060720437,277.48364008179965,25.26806612134614,154.58495228357197,15.779288330999298,10.79629984662577,6.842197699687591,0.0,0.0,0.0,0.0
18,0.009000,93888.0,93888.0,154.80514016700755,12.80738093519025,0.02917244796499022,0.14713278873154667,4.417572000681667,1.4865925734219996,313.02824642126774,27.559791328268144,176.1809709441037,17.313524981033186,14.20584100204499,8.11380663257098,0.0,0.0,0.0,0.0
18,0.010000,93888.0,93888.0,172.03855657805042,13.430065672530938,0.030834925035659495,0.14780936901460112,4.952283571915473,1.5707359436670583,348.7525029822767,29.13684087329278,198.1431066803,18.553326445463174,18.345613922972046,9.440229474176762,0.0,0.0,0.0,0.0
18,0.011000,93888.0,93888.0,189.254345603272,14.113790185386012,0.03288305070993096,0.14985126066494497,5.500990541922292,1.670861203991176,384.6599458929789,31.064838373961738,220.55001704158147,19.92889125916597,23.210175954328566,11.041969019173218,0.0,0.0,0.0,0.0
18,0.012000,93888.0,93888.0,206.51808537832306,14.832183542756031,0.0366789936846562,0.15907230350371857,6.078039792092704,1.7991387004843902,420.82903033401493,33.135136749099175,243.36550996932516,21.442431138995445,28.81804916496251,12.754169482906804,0.0,0.0,0.0,0.0
18,0.013000,93888.0,93888.0,223.72277607361963,15.570293947850788,0.03835108769385864,0.15941538971359798,6.717045841854124,1.9618122683821746,457.3872592876619,35.67504522636041,266.5927062031357,22.94415795612629,35.43187627811857,14.752818747205673,0.0,0.0,0.0,0.0
18,0.014000,93888.0,93888.0,241.11249573960464,16.158074501579765,0.04262797448110514,0.16913892981990597,7.404737559645535,2.110799779595346,494.5655568336742,37.981869276755134,290.44429533060634,24.37254992189314,42.9748104124063,16.822721503789772,0.0,0.0,0.0,0.0
18,0.015000,93888.0,93888.0,258.43055555555543,16.703296561669493,0.04439540610243055,0.169258213404047,8.166357788002724,2.3037190730424824,532.0783912747105,39.62842905090243,314.66648559986356,25.56045711452193,51.80897452283572,19.303079025185642,0.0,0.0,0.0,0.0
18,0.016000,93888.0,93887.0,275.84890507839094,17.305047798543107,0.0462287138817847,0.16955003142264194,9.004036724608042,2.5051207308591543,570.3978996250854,42.502328439753356,339.4180299931834,27.044035057789596,61.74712423312884,21.86139256311343,0.0,0.0,0.0,0.0
18,0.017000,93888.0,93885.0,293.1377598841172,17.870062651430572,0.05067919632212851,0.17873108877845104,9.902671267893659,2.700328968913181,609.016327965235,45.95220754935492,364.41207609066123,28.33282297277334,73.1545351908657,25.169470431671073,0.0,0.0,0.0,0.0
18,0.018000,93888.0,93879.0,310.5530738752557,18.56792369324787,0.05260315845531911,0.17915237974113282,10.896834526244037,2.916680296758276,648.7753493524199,51.062598440110975,389.9692079925017,30.158846303263815,86.11859875596456,28.851501730812434,0.0,0.0,0.0,0.0
18,0.019000,93888.0,93858.0,327.9492267382411,18.96665836195724,0.05455076127267598,0.17943240076090058,11.96209313224267,3.154291085317161,689.240627130198,54.39661300760539,415.95743865030676,31.190463899627265,100.89642978868443,32.86362515982778,0.0,0.0,0.0,0.0
18,0.020000,93888.0,93828.0,345.4151009713702,19.691990038936602,0.05916793127646769,0.18825502845196432,13.129239093387866,3.4167060714040014,731.3290516359914,62.419772836864,442.6063288173144,33.18752477757292,117.9718494376278,37.91803690423079,0.0,0.0,0.0,0.0
23,0.005000,93888.0,93888.0,179.89278715064762,13.750077348720888,0.04588251592713659,0.30907116668065543,3.2037214553510567,1.2210150049794375,361.1249254430813,28.604667548866907,194.5073598329925,16.68985133362221,7.767499573960463,5.362124510857227,0.0,0.0,0.0,0.0
